subject_id,split
1,train
2,train
3,test
4,test
5,train
6,val
7,train
8,train
9,train
10,train
11,train
12,train
13,val
14,test
15,train
16,val
17,train
18,train
19,train
20,train
21,train
22,train
23,train
24,train
25,train
26,train
27,train
28,train
29,train
30,train
31,test
32,train
33,val
34,train
35,train
36,train
37,val
38,val
39,train
40,train
41,train
42,train
43,val
44,train
45,test
46,test
47,train
48,val
49,train
50,train
51,train
52,train
53,train
54,train
55,train
56,train
57,train
58,train
59,train
60,train
61,train
62,val
63,train
64,train
65,test
66,train
67,test
68,train
69,train
70,val
71,train
72,train
73,train
74,train
75,train
76,train
77,test
78,train
79,train
80,train
81,train
82,train
83,train
84,train
85,train
86,train
87,train
88,train
89,train
90,train
91,train
92,train
93,train
94,train
95,train
96,train
97,train
98,train
99,train
100,train
101,train
102,test
103,train
104,train
105,train
106,train
107,train
108,train
109,train
110,train
111,val
112,test
113,train
114,train
115,train
116,train
117,train
118,train
119,train
120,train
121,train
122,test
123,val
124,train
125,train
126,train
127,val
128,train
129,test
130,train
131,test
132,train
133,train
134,train
135,train
136,train
137,test
138,train
139,train
140,train
141,train
142,train
143,train
144,train
145,train
146,train
147,train
148,train
149,train
150,train
151,train
152,train
153,train
154,val
155,train
156,train
157,train
158,train
159,test
160,val
161,train
162,train
163,val
164,train
165,train
166,train
167,train
168,test
169,train
170,train
171,test
172,train
173,val
174,train
175,train
176,train
177,train
178,train
179,train
180,train
181,train
182,train
183,train
184,train
185,train
186,train
187,val
188,test
189,train
190,train
191,train
192,train
193,train
194,test
195,val
196,val
197,train
198,train
199,train
200,train
